,index,pol,mean_sigma0,std_sigma0,mean_sigma0_dB,std_sigma0_dB
792,41108,HH,0.055863502062150634,0.017429936436613388,-12.742754094345,1.3848177721310468
793,41108,HV,0.00028771540748846893,0.0003868270351510706,,
794,253,HH,0.04944287514749135,0.012761873885456774,-13.20321922499956,1.1272072192058553
795,253,HV,1.4448727435984782e-05,0.0005666801727948271,,
796,254,HH,0.014026071077585035,0.0046592689578136455,-18.7721243671102,1.4716625952937898
797,254,HV,0.00048036116729644656,0.0003053922920573086,,
798,255,VV,0.05270427976373877,0.026679095892145205,-13.359892444276376,2.35435835634449
799,255,VH,0.0007831811679714504,0.001988190320628585,,
800,256,VV,0.007540031500456348,0.0049555720601129,,
801,256,VH,-0.00027165940593200914,0.001162835190531031,,
802,257,HH,0.009378608123503905,0.0031424677897675768,-20.530407162541515,1.5116202955396345
803,257,HV,0.000730195560427321,0.0004042891167456007,,
804,24358,HH,0.06435278868329725,0.01670454247647583,-12.061390489654096,1.1416989553645704
805,24358,HV,0.0003417221064578761,0.0006983457127325395,,
806,258,HH,0.041848466579964716,0.01333828911906266,-14.008400813085165,1.42552642989132
807,258,HV,0.00018641766288175432,0.00033224545035849046,,
808,41112,HH,0.012618859590657143,0.003952750254151241,-19.20307723332312,1.3769587606609883
809,41112,HV,0.0002824359714542427,0.00025337097317047785,,
